Length (ft),Height (ft),Speed (mph),Inversions,Type_Label_Encoded,Design_Label_Encoded,Status_Label_Encoded,Make_Label_Encoded,Opened_Year,Opened_Month,Opened_Day
599.6333333333333,56.96666666666667,33.36666666666667,0.0,0,4,4,233,2000,1,1
586.6,48.46666666666667,24.9,0.0,0,4,1,233,2023,10,1
533.3333333333334,66.9,44.333333333333336,0.0,1,4,3,165,1921,1,1
898.9,56.96666666666667,32.333333333333336,0.0,0,4,4,233,2007,1,1
813.7,13.466666666666661,19.866666666666664,0.0,0,4,1,233,2011,1,1
616.6666666666666,55.833333333333336,42.766666666666666,0.0,1,4,3,256,1959,1,1
409.0333333333333,99.69999999999999,26.53333333333333,0.0,0,4,3,256,2004,1,1
683.3333333333334,61.666666666666664,44.0,0.0,1,4,3,256,1930,1,1
600.0,42.66666666666667,27.333333333333336,0.0,1,4,3,256,1905,1,1
581.8,49.3,21.366666666666664,0.0,0,4,1,233,2021,12,18
954.7,108.3,52.8,10.0,0,4,1,104,2014,7,24
569.6333333333333,27.433333333333337,24.03333333333333,0.0,0,4,4,186,2019,1,1
623.3666666666667,56.0,22.2,0.0,0,4,2,227,1988,1,1
820.3,24.733333333333334,18.6,0.0,0,4,1,244,2000,7,1
984.3,49.3,24.5,0.0,0,4,3,109,1997,1,1
421.0666666666667,99.69999999999999,28.2,0.0,0,4,3,256,2014,1,1
569.6333333333333,44.03333333333334,32.333333333333336,0.0,0,4,4,256,2019,1,1
751.3333333333333,19.999999999999993,26.4,0.0,0,4,2,211,2007,1,1
514.0333333333334,19.999999999999993,33.166666666666664,0.0,0,4,3,211,1988,1,1
837.0,127.0,66.0,0.0,1,4,1,104,1981,5,23
353.0,37.599999999999994,27.96666666666667,0.0,0,4,3,14,2010,1,1
754.6,39.3,33.1,0.0,0,4,1,163,2007,1,1
498.3333333333333,26.733333333333327,24.433333333333334,0.0,0,4,3,240,1999,1,1
823.5333333333333,88.46666666666667,49.93333333333334,3.0,0,4,1,26,2011,4,26
837.0,82.0,48.0,0.0,1,4,1,86,2008,6,20
505.26666666666665,35.5,26.33333333333333,0.0,0,4,1,256,2013,1,1
709.7666666666667,27.000000000000007,25.43333333333333,0.0,0,4,1,240,2014,1,1
805.5,117.13333333333333,48.13333333333333,1.0,0,4,3,8,2006,1,1
437.4666666666667,17.766666666666666,34.96666666666667,0.0,0,4,1,190,2007,1,1
490.33333333333337,14.13333333333334,13.8,0.0,0,4,2,58,2003,1,1
856.3333333333333,128.0,50.0,4.0,0,4,1,11,1991,3,23
900.0,118.1,60.5,0.0,1,4,1,256,1989,5,9
850.8333333333333,111.6,55.9,5.000000000000001,0,2,1,80,1999,1,1
935.0,116.5,47.0,3.0,0,4,1,227,2000,1,1
393.70000000000005,55.4,29.1,0.0,0,2,1,72,2005,1,1
393.70000000000005,55.4,29.1,0.0,0,2,2,72,2005,1,1
393.70000000000005,55.4,29.1,0.0,0,2,2,72,2014,1,1
393.70000000000005,55.4,29.1,0.0,0,2,2,72,2006,1,1
393.70000000000005,55.4,29.1,0.0,0,2,2,72,2016,1,1
483.40000000000003,55.4,29.1,0.0,0,2,2,72,2019,9,1
540.6,51.0,54.1,0.0,0,4,2,15,1992,3,20
612.2666666666667,122.5,63.96666666666667,2.0,0,4,5,66,2024,1,1
590.6,151.6,56.733333333333334,2.0,0,4,1,26,2020,1,1
421.0666666666667,99.69999999999999,28.2,0.0,0,4,3,256,2013,1,1
935.0,106.96666666666667,47.5,3.0,0,4,1,256,2021,3,1
412.29999999999995,32.800000000000004,29.1,0.0,0,4,1,244,2004,1,1
837.3,75.23333333333333,53.333333333333336,0.0,1,4,1,100,2011,9,1
452.8,16.16666666666667,34.96666666666667,0.0,0,4,1,186,2006,1,1
833.3333333333333,30.0,51.666666666666664,0.0,1,4,1,256,1995,1,1
590.6,135.5,58.63333333333333,3.0,0,4,1,26,2024,4,1
236.2333333333334,75.5,41.4,0.0,0,4,1,114,2011,1,1
837.7,111.5,55.9,3.0,0,4,1,79,2009,4,5
678.5,17.099999999999994,34.199999999999996,0.0,0,4,3,129,1976,1,1
935.0,75.0,40.0,2.0,0,4,1,227,2012,6,22
837.0,95.0,50.1,0.0,1,4,1,86,2009,5,23
554.4666666666667,170.0,73.0,0.0,0,4,1,30,1999,3,27
290.8,68.93333333333334,44.36666666666667,0.0,0,4,1,166,2014,4,19
729.3,9.5,13.699999999999996,0.0,0,4,1,256,2016,1,1
197.5,26.299999999999997,22.4,0.0,0,4,2,256,2002,1,1
452.8,12.300000000000004,22.933333333333334,0.0,0,4,2,186,2003,6,21
197.5,15.966666666666661,18.266666666666666,0.0,0,4,2,256,1999,1,1
669.1666666666666,23.666666666666664,27.766666666666666,0.0,0,4,1,256,2019,1,1
681.3333333333333,29.766666666666666,25.833333333333336,0.0,0,4,2,161,2003,1,1
389.3333333333333,99.69999999999999,29.6,0.0,0,4,3,256,2006,6,1
606.9666666666667,41.06666666666666,31.099999999999998,0.0,0,4,2,116,2011,4,2
519.4666666666667,44.06666666666667,30.066666666666663,0.0,0,4,1,116,2016,1,1
736.4,51.8,35.0,0.0,0,4,1,129,2002,3,23
524.9,45.9,28.9,0.0,0,4,4,31,1995,1,1
432.0,36.266666666666666,12.266666666666666,0.0,0,4,1,256,2006,1,1
708.7,146.3,62.1,0.0,0,4,1,129,2023,3,11
432.0,33.36666666666667,24.866666666666667,0.0,0,4,1,256,2003,1,1
492.1333333333333,49.2,34.2,0.0,0,4,1,79,2004,4,24
672.6,53.56666666666667,43.5,0.0,0,4,5,227,2025,1,1
796.9333333333333,120.0,38.0,0.0,0,7,1,184,2017,3,10
721.8,40.800000000000004,32.833333333333336,0.0,0,4,1,129,2012,7,13
450.0,45.0,32.6,0.0,0,4,3,45,1974,1,1
576.3333333333334,61.4,40.0,0.0,0,4,1,104,2023,6,2
954.7,155.0,64.0,4.0,0,4,1,181,2023,3,31
837.0,95.0,54.7,0.0,1,4,1,142,1992,5,30
935.0,109.3,49.7,5.000000000000001,0,2,3,227,1995,12,26
601.5,98.86666666666666,39.36666666666667,0.0,0,4,1,129,2008,1,1
744.0666666666666,21.533333333333324,21.933333333333334,0.0,0,4,2,219,2003,1,1
455.16666666666663,37.53333333333333,25.333333333333336,0.0,0,4,1,219,2020,9,1
393.70000000000005,44.3,19.3,0.0,0,2,1,129,2014,7,1
833.3333333333333,98.4,49.7,0.0,1,4,3,104,1998,7,19
302.6,19.700000000000003,24.233333333333334,0.0,0,4,3,219,2002,1,1
589.4666666666667,31.266666666666666,29.03333333333333,0.0,0,4,1,219,2018,1,1
412.29999999999995,22.0,24.366666666666664,0.0,0,4,1,244,2003,1,1
692.2666666666667,84.0,50.56666666666667,1.0,0,4,3,221,2001,1,1
990.8,31.5,40.3,1.0,0,4,1,102,2011,1,1
860.4666666666666,90.73333333333333,57.03333333333333,1.0,0,4,3,163,1995,7,1
463.33333333333337,38.33333333333333,30.0,0.0,0,4,3,6,1962,1,1
554.4666666666667,26.23333333333334,27.93333333333333,0.0,0,4,1,254,2011,7,23
416.70000000000005,99.69999999999999,28.2,0.0,0,4,3,256,2012,1,1
452.76666666666665,99.69999999999999,28.6,0.0,0,4,3,256,1994,1,1
629.2,98.4,49.7,0.0,0,4,1,129,2005,3,19
318.23333333333335,72.2,46.6,0.0,0,4,1,104,2003,10,26
601.5,39.4,29.866666666666664,0.0,0,4,1,116,2009,1,1
860.4666666666667,164.1,49.7,1.0,0,4,3,194,1980,2,27
869.4,124.69999999999999,49.7,1.0,0,4,3,194,1980,3,8
869.4,124.69999999999999,49.7,1.0,0,4,3,194,1981,4,10
935.0,98.66666666666666,49.0,3.0,0,4,3,194,1986,1,1
480.06666666666666,55.56666666666666,41.3,1.0,0,4,3,256,1997,1,1
860.4666666666667,133.43333333333334,55.56666666666666,1.0,0,4,3,194,1983,6,1
724.0333333333333,52.400000000000006,35.266666666666666,0.0,0,4,1,139,1981,1,1
566.6666666666666,70.0,34.666666666666664,0.0,1,4,3,256,1938,1,1
548.9666666666667,39.06666666666666,25.566666666666666,0.0,0,4,5,170,2024,1,1
629.9666666666667,141.1,58.4,3.0,0,1,1,116,2023,1,1
833.3333333333333,62.43333333333333,40.4,0.0,1,4,1,256,1948,1,1
935.0,146.33333333333331,54.7,8.0,0,4,1,104,2002,6,1
540.3,72.16666666666666,38.53333333333333,0.0,0,0,1,129,1988,6,22
833.3333333333333,88.5,45.800000000000004,0.0,1,4,3,184,2004,7,1
509.7,44.3,35.4,0.0,0,4,3,191,2008,1,1
788.5,31.06666666666667,26.33333333333333,0.0,0,4,1,233,2021,3,13
632.6666666666667,70.0,35.2,0.0,0,4,1,104,2008,3,15
935.0,80.0,57.0,3.0,0,4,1,227,2002,3,16
630.9,23.566666666666663,20.433333333333337,0.0,0,4,1,256,2018,1,1
189.99999999999994,14.033333333333331,29.266666666666666,0.0,0,4,1,186,2016,1,1
652.9,19.700000000000003,19.9,0.0,0,4,2,254,1978,1,1
606.7,55.8,34.2,0.0,0,4,1,203,2003,4,13
219.8,9.799999999999997,29.333333333333336,0.0,0,4,1,3,2016,7,13
437.4666666666667,27.6,34.96666666666667,0.0,0,4,1,190,2005,1,1
603.6999999999999,26.066666666666663,21.966666666666665,0.0,0,4,3,26,2008,1,1
633.3333333333334,79.63333333333334,44.333333333333336,0.0,1,4,3,165,1928,1,1
853.0,32.83333333333334,29.6,0.0,0,4,3,227,2010,3,13
345.5,15.333333333333329,29.266666666666666,0.0,0,4,1,186,2014,1,1
482.20000000000005,35.7,39.666666666666664,0.0,0,4,3,186,2006,1,1
262.5,13.100000000000009,25.46666666666666,0.0,0,4,3,244,2013,4,26
366.66666666666663,26.0,33.666666666666664,0.0,0,4,2,14,1950,1,1
